source_pdf,ประเภทเอกสาร,is_bch,หน่วยเลือกตั้งที่,หน่วยเลือกตั้งที่(ตัวเลขดิบ),หน่วยเลือกตั้งที่(ตัวอักษร),หน่วยเลือกตั้งที่_from_path,หน่วยเลือกตั้งที่_decision,หมู่ที่,หมู่ที่(ตัวเลขดิบ),หมู่ที่(ตัวอักษร),หมู่ที่_from_path,หมู่ที่_decision,ตำบล/แขวง/เทศบาล,อำเภอ/เขต,จำนวนผู้มีสิทธิ,จำนวนผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,match_score_ตำบล,match_score_อำเภอ
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18.pdf,แบ่งเขต,False,4,4,,4,numeric_only,3.0,3,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,379.0,306.0,282.0,24.0,,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 7/สส.5ทับ18 บช หน่วยที่ 7.pdf,บัญชีรายชื่อ,True,7,7,,7,numeric_only,6.0,6,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,174.0,133.0,121.0,8.0,4.0,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18.pdf,แบ่งเขต,False,7,7,,7,numeric_only,6.0,6,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,174.0,133.0,125.0,4.0,4.0,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 5/สส.5ทับ18 บช หน่วยที่ 5.pdf,บัญชีรายชื่อ,True,5,5,,5,numeric_only,5.0,5,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,208.0,158.0,153.0,3.0,2.0,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,แบ่งเขต,False,5,5,,5,numeric_only,5.0,5,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,205.0,153.0,139.0,9.0,3.0,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 6/สส.5ทับ18 บช หน่วยที่ 6.pdf,บัญชีรายชื่อ,True,6,6,หก,6,numeric_text_agree,5.0,5,ห้า,,numeric_text_agree,ตำบลบ้านหลวง,อำเภอแม่อาย,383.0,286.0,250.0,25.0,11.0,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18.pdf,แบ่งเขต,False,6,6,,6,numeric_only,5.0,5,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,383.0,286.0,266.0,12.0,8.0,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 14/สส.5ทับ18 บช หน่วยที่ 14.pdf,บัญชีรายชื่อ,True,14,14,,14,numeric_only,11.0,11,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,443.0,351.0,320.0,24.0,7.0,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 14/สส. 5ทับ18.pdf,แบ่งเขต,False,14,14,,14,numeric_only,11.0,11,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,443.0,351.0,314.0,28.0,9.0,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 3/สส.5ทับ18 บช หน่วยที่ 3.pdf,บัญชีรายชื่อ,True,3,3,,3,numeric_only,3.0,3,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,369.0,274.0,247.0,27.0,,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,แบ่งเขต,False,3,3,,3,numeric_only,3.0,3,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,369.0,274.0,247.0,27.0,,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 2/สส.5ทับ18 บช หน่วยที่ 2.pdf,บัญชีรายชื่อ,True,2,2,,2,numeric_only,2.0,2,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,373.0,262.0,244.0,13.0,5.0,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18.pdf,แบ่งเขต,False,8,8,,2,numeric_only,8.0,8,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,578.0,262.0,253.0,6.0,3.0,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 13/สส.5ทับ18 บช หน่วยที่ 13.pdf,บัญชีรายชื่อ,True,13,13,,13,numeric_only,10.0,10,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,606.0,433.0,394.0,58.0,1.0,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 13/สส. 5ทับ18.pdf,แบ่งเขต,False,13,13,,13,numeric_only,10.0,10,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,608.0,433.0,398.0,45.0,,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 12/สส.5ทับ18 บช หน่วยที่ 12.pdf,บัญชีรายชื่อ,True,12,12,,12,numeric_only,10.0,10,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,583.0,415.0,379.0,36.0,,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 12/สส. 5ทับ18.pdf,แบ่งเขต,False,12,12,,12,numeric_only,10.0,10,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,583.0,415.0,376.0,38.0,1.0,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 10/สส.5ทับ18 บช หน่วยที่ 10.pdf,บัญชีรายชื่อ,True,10,10,,10,numeric_only,9.0,9,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,368.0,239.0,207.0,30.0,2.0,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 10/สส. 5ทับ18.pdf,แบ่งเขต,False,10,10,,10,numeric_only,9.0,9,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,268.0,239.0,209.0,29.0,1.0,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 11/สส.5ทับ18 บช หน่วยที่ 11.pdf,บัญชีรายชื่อ,True,11,11,,11,numeric_only,,,,,missing,ตำบลบ้านหลวง,อำเภอแม่อาย,381.0,269.0,233.0,34.0,1.0,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 11/สส. 5ทับ18.pdf,แบ่งเขต,False,11,11,,11,numeric_only,3.0,3,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,381.0,269.0,244.0,19.0,2.0,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 1/สส.5ทับ18 บช หน่วยที่ 1.pdf,บัญชีรายชื่อ,True,1,1,,1,numeric_only,1.0,1,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,473.0,328.0,323.0,3.0,2.0,100,100.0
อำเภอแม่อาย/ตำบลบ้านหลวง/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18.pdf,แบ่งเขต,False,1,1,,1,numeric_only,1.0,1,,,numeric_only,ตำบลบ้านหลวง,อำเภอแม่อาย,423.0,395.0,388.0,7.0,,100,100.0
อำเภอแม่อาย/ตำบลมะลิกา/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,1,1,,1,numeric_only,1.0,1,,,numeric_only,ตำบลมะลิกา,อำเภอแม่อาย,390.0,234.0,209.0,17.0,8.0,100,100.0
อำเภอแม่อาย/ตำบลมะลิกา/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18.pdf,แบ่งเขต,False,1,1,,1,numeric_only,1.0,1,,,numeric_only,ตำบลมะลิกา,อำเภอแม่อาย,390.0,234.0,203.0,16.0,15.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 8/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,8,8,,8,numeric_only,2.0,2,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,897.0,263.0,225.0,33.0,5.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 8/สส. 5ทับ18.pdf,แบ่งเขต,False,1,1,,8,numeric_only,1.0,1,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,397.0,263.0,229.0,22.0,2.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,9,9,,9,numeric_only,7.0,7,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,355.0,233.0,211.0,13.0,9.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,แบ่งเขต,False,9,9,,9,numeric_only,7.0,7,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,355.0,233.0,215.0,10.0,8.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,7,7,,6,numeric_only,8.0,8,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,700.0,478.0,388.0,63.0,27.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18.pdf,แบ่งเขต,False,6,6,,6,numeric_only,,,,,missing,ตำบลท่าตอน,อำเภอแม่อาย,,,,,,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,8,8,,3,numeric_only,2.0,2,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,356.0,249.0,239.0,9.0,1.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,แบ่งเขต,False,3,3,,3,numeric_only,2.0,2,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,356.0,249.0,237.0,5.0,7.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,8,8,,5,numeric_only,8.0,8,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,563.0,391.0,351.0,30.0,10.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,แบ่งเขต,False,5,5,,5,numeric_only,3.0,3,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,563.0,391.0,357.0,30.0,10.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,7,7,,7,numeric_only,5.0,5,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,220.0,112.0,105.0,4.0,3.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18.pdf,แบ่งเขต,False,7,7,,7,numeric_only,5.0,5,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,220.0,112.0,103.0,5.0,4.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,4,4,,4,numeric_only,3.0,3,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,539.0,329.0,288.0,29.0,12.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18.pdf,แบ่งเขต,False,4,4,,4,numeric_only,3.0,3,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,539.0,329.0,300.0,15.0,14.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 25/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,20,20,,25,numeric_only,15.0,15,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,502.0,218.0,165.0,50.0,3.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 25/สส. 5ทับ18.pdf,แบ่งเขต,False,16,16,,25,numeric_only,16.0,16,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,502.0,218.0,174.0,41.0,3.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 21/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,21,21,,21,numeric_only,13.0,13,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,637.0,446.0,396.0,46.0,4.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 21/สส. 5ทับ18.pdf,แบ่งเขต,False,21,21,,21,numeric_only,13.0,13,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,637.0,446.0,402.0,41.0,3.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 22/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,22,22,,22,numeric_only,14.0,14,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,515.0,299.0,268.0,16.0,13.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 22/สส. 5ทับ18.pdf,แบ่งเขต,False,22,22,,22,numeric_only,14.0,14,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,515.0,299.0,292.0,14.0,11.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 23/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,23,23,,23,numeric_only,14.0,14,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,535.0,299.0,274.0,18.0,7.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 23/สส. 5ทับ18.pdf,แบ่งเขต,False,23,23,,23,numeric_only,14.0,14,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,535.0,299.0,272.0,22.0,5.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 24/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,24,24,,24,numeric_only,15.0,15,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,462.0,211.0,173.0,36.0,2.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 24/สส. 5ทับ18.pdf,แบ่งเขต,False,24,24,,24,numeric_only,15.0,15,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,462.0,211.0,164.0,46.0,1.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 19/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,19,19,,19,numeric_only,12.0,12,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,461.0,311.0,261.0,48.0,2.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 19/สส. 5ทับ18.pdf,แบ่งเขต,False,19,19,,19,numeric_only,12.0,12,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,461.0,311.0,277.0,34.0,,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 20/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,20,20,,20,numeric_only,12.0,12,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,475.0,342.0,312.0,28.0,2.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 20/สส. 5ทับ18.pdf,แบ่งเขต,False,20,20,,20,numeric_only,12.0,12,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,475.0,342.0,304.0,35.0,3.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 17/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,17,17,,17,numeric_only,11.0,11,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,714.0,302.0,254.0,44.0,4.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 17/สส. 5ทับ18.pdf,แบ่งเขต,False,19,19,,17,numeric_only,11.0,11,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,714.0,680.0,261.0,37.0,4.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 18/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,13,13,,18,numeric_only,11.0,11,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,744.0,376.0,306.0,65.0,5.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 18/สส. 5ทับ18.pdf,แบ่งเขต,False,18,18,,18,numeric_only,11.0,11,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,944.0,376.0,311.0,61.0,4.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,2,2,,2,numeric_only,2.0,2,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,352.0,234.0,219.0,5.0,10.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18.pdf,แบ่งเขต,False,2,2,,2,numeric_only,2.0,2,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,352.0,234.0,219.0,9.0,6.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 14/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,14,14,,14,numeric_only,9.0,9,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,652.0,338.0,301.0,35.0,2.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 14/สส. 5ทับ18.pdf,แบ่งเขต,False,14,14,,14,numeric_only,9.0,9,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,692.0,338.0,286.0,48.0,4.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 12/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,12,12,,12,numeric_only,8.0,8,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,507.0,280.0,254.0,19.0,7.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 12/สส. 5ทับ18.pdf,แบ่งเขต,False,12,12,,12,numeric_only,8.0,8,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,507.0,280.0,260.0,16.0,4.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 13/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,13,13,,13,numeric_only,9.0,9,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,657.0,393.0,364.0,23.0,6.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 13/สส. 5ทับ18.pdf,แบ่งเขต,False,13,13,,13,numeric_only,9.0,9,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,657.0,393.0,366.0,18.0,9.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 15/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,15,15,,15,numeric_only,10.0,10,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,519.0,238.0,203.0,34.0,1.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 15/สส. 5ทับ18.pdf,แบ่งเขต,False,15,15,,15,numeric_only,10.0,10,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,512.0,238.0,214.0,24.0,,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 16/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,16,16,,16,numeric_only,10.0,10,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,521.0,310.0,279.0,34.0,1.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 16/สส. 5ทับ18.pdf,แบ่งเขต,False,16,16,,16,numeric_only,,,,,missing,ตำบลท่าตอน,อำเภอแม่อาย,,,,,,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 11/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,11,11,,11,numeric_only,8.0,8,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,490.0,262.0,240.0,22.0,8.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 11/สส. 5ทับ18.pdf,แบ่งเขต,False,11,11,,11,numeric_only,8.0,8,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,490.0,262.0,242.0,17.0,3.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 10/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,10,10,,10,numeric_only,7.0,7,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,367.0,296.0,225.0,26.0,5.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 10/สส. 5ทับ18.pdf,แบ่งเขต,False,10,10,,10,numeric_only,7.0,7,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,367.0,256.0,240.0,8.0,8.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,1,1,,1,numeric_only,1.0,1,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,665.0,452.0,392.0,37.0,23.0,100,100.0
อำเภอแม่อาย/ตำบลท่าตอน/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18.pdf,แบ่งเขต,False,1,1,,1,numeric_only,1.0,1,,,numeric_only,ตำบลท่าตอน,อำเภอแม่อาย,665.0,452.0,416.0,23.0,13.0,100,100.0
อำเภอแม่อาย/ตำบลสันต้นหมื้อ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,9,9,,9,numeric_only,8.0,8,,,numeric_only,ตำบลสันต้นหมื้อ,อำเภอแม่อาย,396.0,278.0,248.0,16.0,14.0,100,100.0
อำเภอแม่อาย/ตำบลสันต้นหมื้อ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,แบ่งเขต,False,9,9,,9,numeric_only,8.0,8,,,numeric_only,ตำบลสันต้นหมื้อ,อำเภอแม่อาย,396.0,278.0,249.0,12.0,17.0,100,100.0
อำเภอแม่อาย/ตำบลสันต้นหมื้อ/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,5,5,,5,numeric_only,5.0,5,,,numeric_only,ตำบลสันต้นหมื้อ,อำเภอแม่อาย,512.0,351.0,312.0,34.0,5.0,100,100.0
อำเภอแม่อาย/ตำบลสันต้นหมื้อ/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,แบ่งเขต,False,5,5,,5,numeric_only,5.0,5,,,numeric_only,ตำบลสันต้นหมื้อ,อำเภอแม่อาย,512.0,351.0,309.0,30.0,12.0,100,100.0
อำเภอแม่อาย/ตำบลสันต้นหมื้อ/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,7,7,,7,numeric_only,2.0,2,,,numeric_only,ตำบลสันต้นหมื้อ,อำเภอแม่อาย,358.0,261.0,217.0,27.0,17.0,100,100.0
อำเภอแม่อาย/ตำบลสันต้นหมื้อ/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18.pdf,แบ่งเขต,False,7,7,,7,numeric_only,6.0,6,,,numeric_only,ตำบลสันต้นหมื้อ,อำเภอแม่อาย,358.0,261.0,233.0,13.0,15.0,100,100.0
อำเภอแม่อาย/ตำบลสันต้นหมื้อ/หน่วยเลือกตั้งที่ 8/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,8,8,,8,numeric_only,7.0,7,,,numeric_only,ตำบลสันต้นหมื้อ,อำเภอแม่อาย,225.0,162.0,157.0,3.0,2.0,100,100.0
อำเภอแม่อาย/ตำบลสันต้นหมื้อ/หน่วยเลือกตั้งที่ 8/สส. 5ทับ18.pdf,แบ่งเขต,False,8,8,,8,numeric_only,7.0,7,,,numeric_only,ตำบลสันต้นหมื้อ,อำเภอแม่อาย,226.0,162.0,152.0,3.0,7.0,100,100.0
อำเภอแม่อาย/ตำบลสันต้นหมื้อ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,6,6,,6,numeric_only,6.0,6,,,numeric_only,ตำบลสันต้นหมื้อ,อำเภอแม่อาย,353.0,240.0,221.0,8.0,11.0,100,100.0
อำเภอแม่อาย/ตำบลสันต้นหมื้อ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18.pdf,แบ่งเขต,False,6,6,,6,numeric_only,6.0,6,,,numeric_only,ตำบลสันต้นหมื้อ,อำเภอแม่อาย,353.0,240.0,224.0,4.0,12.0,100,100.0
อำเภอแม่อาย/ตำบลสันต้นหมื้อ/หน่วยเลือกตั้งที่ 12/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,12,12,,12,numeric_only,11.0,11,,,numeric_only,ตำบลสันต้นหมื้อ,อำเภอแม่อาย,280.0,193.0,179.0,13.0,1.0,100,100.0
อำเภอแม่อาย/ตำบลสันต้นหมื้อ/หน่วยเลือกตั้งที่ 12/สส. 5ทับ18.pdf,แบ่งเขต,False,12,12,,12,numeric_only,11.0,11,,,numeric_only,ตำบลสันต้นหมื้อ,อำเภอแม่อาย,280.0,193.0,182.0,5.0,6.0,100,100.0
อำเภอแม่อาย/ตำบลสันต้นหมื้อ/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,3,3,,3,numeric_only,3.0,3,,,numeric_only,ตำบลสันต้นหมื้อ,อำเภอแม่อาย,427.0,298.0,266.0,19.0,13.0,100,100.0
อำเภอแม่อาย/ตำบลสันต้นหมื้อ/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,แบ่งเขต,False,3,3,,3,numeric_only,3.0,3,,,numeric_only,ตำบลสันต้นหมื้อ,อำเภอแม่อาย,427.0,299.0,271.0,13.0,14.0,100,100.0
