source_pdf,หน่วยเลือกตั้งที่,หมู่ที่,ตำบล/แขวง/เทศบาล,อำเภอ/เขต,จำนวนผู้มีสิทธิ,จำนวนผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,หมายเลขผู้สมัคร,ชื่อผู้สมัคร,สังกัดพรรคการเมือง,จำนวนคะแนนที่ได้,จำนวนคะแนนที่ได้(ตัวเลขดิบ),จำนวนที่ได้(ตัวอักษร),จำนวนคะแนนที่ได้_decision
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,9,8.0,ตำบลแม่สาว,อำเภอแม่อาย,425.0,333.0,310.0,11.0,12.0,1.0,นายอดุลย์ บุญใส,ภูมิใจไทย,4.0,4,สี่,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,9,8.0,ตำบลแม่สาว,อำเภอแม่อาย,425.0,333.0,310.0,11.0,12.0,2.0,นายสมดุลย์ อุดเจริญ,ประชาชน,54.0,54,ห้าสิบสี่,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,9,8.0,ตำบลแม่สาว,อำเภอแม่อาย,425.0,333.0,310.0,11.0,12.0,3.0,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,0.0,0,ศูนย์,numeric_only
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,9,8.0,ตำบลแม่สาว,อำเภอแม่อาย,425.0,333.0,310.0,11.0,12.0,4.0,นายสันติ ตันสุขหัย,ก้าวอิสระ,0.0,0,ศูนย์,numeric_only
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,9,8.0,ตำบลแม่สาว,อำเภอแม่อาย,425.0,333.0,310.0,11.0,12.0,5.0,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,128.0,128,หนึ่งร้อยยี่สิบแปด,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,9,8.0,ตำบลแม่สาว,อำเภอแม่อาย,425.0,333.0,310.0,11.0,12.0,6.0,นายนิธินร วุฒินัย,เพื่อไทย,68.0,68,หกสิบแปด,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,9,8.0,ตำบลแม่สาว,อำเภอแม่อาย,425.0,333.0,310.0,11.0,12.0,7.0,นายไกร ดาบธรรม,พลังประชารัฐ,46.0,46,สี่สิบหก,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,9,8.0,ตำบลแม่สาว,อำเภอแม่อาย,425.0,333.0,310.0,11.0,12.0,8.0,นายพิสิณห์ อุปนันท์,เศรษฐกิจ,0.0,0,ศูนย์,numeric_only
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,9,8.0,ตำบลแม่สาว,อำเภอแม่อาย,425.0,333.0,310.0,11.0,12.0,9.0,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,10.0,10,สิบ,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 8/สส. 5ทับ18.pdf,8,7.0,ตำบลแม่สาว,อำเภอแม่อาย,280.0,222.0,206.0,5.0,11.0,1.0,นายอดุลย์ บุญใส,ภูมิใจไทย,7.0,7,เจ็ด,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 8/สส. 5ทับ18.pdf,8,7.0,ตำบลแม่สาว,อำเภอแม่อาย,280.0,222.0,206.0,5.0,11.0,2.0,นายสมดุลย์ อุดเจริญ,ประชาชน,52.0,52,ห้าสิบสอง,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 8/สส. 5ทับ18.pdf,8,7.0,ตำบลแม่สาว,อำเภอแม่อาย,280.0,222.0,206.0,5.0,11.0,3.0,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,0.0,0,ศูนย์,numeric_only
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 8/สส. 5ทับ18.pdf,8,7.0,ตำบลแม่สาว,อำเภอแม่อาย,280.0,222.0,206.0,5.0,11.0,4.0,นายสันติ ตันสุขี,ก้าวอิสระ,12.0,12,สิบสอง,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 8/สส. 5ทับ18.pdf,8,7.0,ตำบลแม่สาว,อำเภอแม่อาย,280.0,222.0,206.0,5.0,11.0,5.0,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,64.0,64,หกสิบสี่,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 8/สส. 5ทับ18.pdf,8,7.0,ตำบลแม่สาว,อำเภอแม่อาย,280.0,222.0,206.0,5.0,11.0,6.0,นายนิธิกร วุฒินัย,เพื่อไทย,29.0,29,ยี่สิบเก้า,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 8/สส. 5ทับ18.pdf,8,7.0,ตำบลแม่สาว,อำเภอแม่อาย,280.0,222.0,206.0,5.0,11.0,7.0,นายไกร ดาบธรรม,พลังประชารัฐ,38.0,38,สามสิบแปด,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 8/สส. 5ทับ18.pdf,8,7.0,ตำบลแม่สาว,อำเภอแม่อาย,280.0,222.0,206.0,5.0,11.0,8.0,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,2.0,2,สอง,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 8/สส. 5ทับ18.pdf,8,7.0,ตำบลแม่สาว,อำเภอแม่อาย,280.0,222.0,206.0,5.0,11.0,9.0,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,2.0,2,สอง,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18.pdf,7,8.0,ตำบลแม่สาว,อำเภอแม่อาย,477.0,351.0,322.0,26.0,3.0,1.0,นายอดุลย์ บุญใส,ภูมิใจไทย,18.0,18,สิบแปด,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18.pdf,7,8.0,ตำบลแม่สาว,อำเภอแม่อาย,477.0,351.0,322.0,26.0,3.0,2.0,นายสมดุลย์ อุดเจริญ,ประชาชน,71.0,71,เจ็ดสิบเอ็ด,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18.pdf,7,8.0,ตำบลแม่สาว,อำเภอแม่อาย,477.0,351.0,322.0,26.0,3.0,3.0,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,2.0,2,สอง,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18.pdf,7,8.0,ตำบลแม่สาว,อำเภอแม่อาย,477.0,351.0,322.0,26.0,3.0,4.0,นายสันติ ตันสุข,ก้าวอิสระ,3.0,3,สาม,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18.pdf,7,8.0,ตำบลแม่สาว,อำเภอแม่อาย,477.0,351.0,322.0,26.0,3.0,5.0,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,40.0,40,สี่สิบ,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18.pdf,7,8.0,ตำบลแม่สาว,อำเภอแม่อาย,477.0,351.0,322.0,26.0,3.0,6.0,นายนิธิกร วุฒินันชัย,เพื่อไทย,27.0,27,ยี่สิบเจ็ด,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18.pdf,7,8.0,ตำบลแม่สาว,อำเภอแม่อาย,477.0,351.0,322.0,26.0,3.0,7.0,นายไกร ดาบธรรม,พลังประชารัฐ,156.0,156,หนึ่งร้อยห้าสิบหก,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18.pdf,7,8.0,ตำบลแม่สาว,อำเภอแม่อาย,477.0,351.0,322.0,26.0,3.0,8.0,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,2.0,2,สอง,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18.pdf,7,8.0,ตำบลแม่สาว,อำเภอแม่อาย,477.0,351.0,322.0,26.0,3.0,9.0,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,3.0,3,สาม,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,2.0,นายสุรศักดิ์,พรรคเพื่อไทย,,,,missing
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,3.0,นาย,พรรคก้าวไกล,,,,missing
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,10.0,นาย,พรรคภูมิใจไทย,,,,missing
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,9.0,นาย,พรรคพลังประชารัฐ,,,,missing
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,7.0,นาย,พรรครวมไทยสร้างชาติ,,,,missing
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,2.0,นาย,พรรคประชาธิปัตย์,,,,missing
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,19.0,นาย,พรรคชาติไทยพัฒนา,,,,missing
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,8.0,นาย,พรรคเสรีรวมไทย,,,,missing
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,6.0,นาย,พรรคชาติพัฒนากล้า,,,,missing
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,11.0,นาย,พรรคไทยสร้างไทย,,,,missing
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,21.0,นาย,พรรคเพื่อชาติ,,,,missing
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,22.0,นาย,พรรคไทยภักดี,,,,missing
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,23.0,นาย,พรรคไทยศรีวิไลย์,,,,missing
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,24.0,นาย,พรรคพลังสังคมใหม่,,,,missing
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,25.0,นาย,พรรคไทยรวมไทย,,,,missing
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,26.0,นาย,พรรคไทยชนะ,,,,missing
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,,นาย,พรรคไทยเป็นหนึ่ง,,,,missing
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,1.0,นายสมศักดิ์ สุวรรณสุจริต,พรรคพลังประชารัฐ,2568.0,2568,สองพันห้าร้อยหกสิบแปด,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,2.0,นายสมศักดิ์ สุวรรณสุจริต,พรรคพลังประชารัฐ,2568.0,2568,สองพันห้าร้อยหกสิบแปด,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,3.0,นายสมศักดิ์ สุวรรณสุจริต,พรรคพลังประชารัฐ,2568.0,2568,สองพันห้าร้อยหกสิบแปด,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,4.0,นายสมศักดิ์ สุวรรณสุจริต,พรรคพลังประชารัฐ,2568.0,2568,สองพันห้าร้อยหกสิบแปด,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,5.0,นายสมศักดิ์ สุวรรณสุจริต,,,,,missing
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18.pdf,1,4.0,ตำบลแม่สาว,อำเภอแม่อาย,341.0,223.0,213.0,6.0,4.0,1.0,นายอดุลย์ บุญใส,ภูมิใจไทย,9.0,9,เก้า,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18.pdf,1,4.0,ตำบลแม่สาว,อำเภอแม่อาย,341.0,223.0,213.0,6.0,4.0,2.0,นายสมดุลย์ อุดเจริญ,ประชาชน,58.0,58,ห้าสิบแปด,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18.pdf,1,4.0,ตำบลแม่สาว,อำเภอแม่อาย,341.0,223.0,213.0,6.0,4.0,3.0,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,2.0,2,สอง,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18.pdf,1,4.0,ตำบลแม่สาว,อำเภอแม่อาย,341.0,223.0,213.0,6.0,4.0,4.0,นายสันติ ตันสุขห้าว,ก้าวอิสระ,2.0,2,สอง,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18.pdf,1,4.0,ตำบลแม่สาว,อำเภอแม่อาย,341.0,223.0,213.0,6.0,4.0,5.0,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,26.0,26,ยี่สิบหก,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18.pdf,1,4.0,ตำบลแม่สาว,อำเภอแม่อาย,341.0,223.0,213.0,6.0,4.0,6.0,นายนิกร วุฒินัย,เพื่อไทย,33.0,33,สามสิบสาม,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18.pdf,1,4.0,ตำบลแม่สาว,อำเภอแม่อาย,341.0,223.0,213.0,6.0,4.0,7.0,นายไกร ดาบธรรม,พลังประชารัฐ,57.0,57,ห้าสิบเจ็ด,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18.pdf,1,4.0,ตำบลแม่สาว,อำเภอแม่อาย,341.0,223.0,213.0,6.0,4.0,8.0,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,2.0,2,สอง,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18.pdf,1,4.0,ตำบลแม่สาว,อำเภอแม่อาย,341.0,223.0,213.0,6.0,4.0,9.0,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,4.0,4,สี่,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,3,3.0,ตำบลแม่สาว,อำเภอแม่อาย,468.0,368.0,349.0,6.0,13.0,1.0,นายอดุลย์ บุญใส,ภูมิใจไทย,1.0,1,หนึ่ง,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,3,3.0,ตำบลแม่สาว,อำเภอแม่อาย,468.0,368.0,349.0,6.0,13.0,2.0,นายสมดุลย์ อุดเจริญ,ประชาชน,39.0,39,สามสิบเก้า,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,3,3.0,ตำบลแม่สาว,อำเภอแม่อาย,468.0,368.0,349.0,6.0,13.0,3.0,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,1.0,1,หนึ่ง,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,3,3.0,ตำบลแม่สาว,อำเภอแม่อาย,468.0,368.0,349.0,6.0,13.0,4.0,นายสันติ ตันสุขหุ,ก้าวอิสระ,0.0,0,ศูนย์,numeric_only
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,3,3.0,ตำบลแม่สาว,อำเภอแม่อาย,468.0,368.0,349.0,6.0,13.0,5.0,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,113.0,113,หนึ่งร้อยสิบสาม,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,3,3.0,ตำบลแม่สาว,อำเภอแม่อาย,468.0,368.0,349.0,6.0,13.0,6.0,นายนิธินร วุฒินัยชัย,เพื่อไทย,73.0,73,เจ็ดสิบสาม,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,3,3.0,ตำบลแม่สาว,อำเภอแม่อาย,468.0,368.0,349.0,6.0,13.0,7.0,นายไกร ดาบธรรม,พลังประชารัฐ,86.0,86,แปดสิบหก,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,3,3.0,ตำบลแม่สาว,อำเภอแม่อาย,468.0,368.0,349.0,6.0,13.0,8.0,นายพิสิณห์ อุปนันท์,เศรษฐกิจ,2.0,2,สอง,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,3,3.0,ตำบลแม่สาว,อำเภอแม่อาย,468.0,368.0,349.0,6.0,13.0,9.0,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,4.0,4,สี่,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18.pdf,2,2.0,ตำบลแม่สาว,อำเภอแม่อาย,545.0,387.0,346.0,22.0,19.0,1.0,นายอดุลย์ บุญใส,ภูมิใจไทย,10.0,10,สิบ,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18.pdf,2,2.0,ตำบลแม่สาว,อำเภอแม่อาย,545.0,387.0,346.0,22.0,19.0,2.0,นายสมดุลย์ อุตเจริญ,ประชาชน,42.0,42,สี่สิบสอง,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18.pdf,2,2.0,ตำบลแม่สาว,อำเภอแม่อาย,545.0,387.0,346.0,22.0,19.0,3.0,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,1.0,1,หนึ่ง,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18.pdf,2,2.0,ตำบลแม่สาว,อำเภอแม่อาย,545.0,387.0,346.0,22.0,19.0,4.0,นายสันติ ตันสุขขี,ก้าวอิสระ,1.0,1,หนึ่ง,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18.pdf,2,2.0,ตำบลแม่สาว,อำเภอแม่อาย,545.0,387.0,346.0,22.0,19.0,5.0,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,50.0,50,ห้าสิบ,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18.pdf,2,2.0,ตำบลแม่สาว,อำเภอแม่อาย,545.0,387.0,346.0,22.0,19.0,6.0,นายนิธิกร วุฒินันชัย,เพื่อไทย,100.0,100,หนึ่งร้อย,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18.pdf,2,2.0,ตำบลแม่สาว,อำเภอแม่อาย,545.0,387.0,346.0,22.0,19.0,7.0,นายไกร ดาบธรรม,พลังประชารัฐ,108.0,108,หนึ่งร้อยแปด,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18.pdf,2,2.0,ตำบลแม่สาว,อำเภอแม่อาย,545.0,387.0,346.0,22.0,19.0,8.0,นายพิสิณห์ อุปนันท์,เศรษฐกิจ,3.0,3,สาม,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18.pdf,2,2.0,ตำบลแม่สาว,อำเภอแม่อาย,545.0,387.0,346.0,22.0,19.0,9.0,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,3.0,3,สาม,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 16/สส. 5ทับ18.pdf,16,15.0,ตำบลแม่สาว,อำเภอแม่อาย,911.0,602.0,524.0,75.0,3.0,1.0,นายอดุลย์ บุญใส,ภูมิใจไทย,31.0,31,สาม​สิบ​เอ็ด,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 16/สส. 5ทับ18.pdf,16,15.0,ตำบลแม่สาว,อำเภอแม่อาย,911.0,602.0,524.0,75.0,3.0,2.0,นายสมดุลย์ อุดเจริญ,ประชาชน,45.0,45,สี่​สิบ​ห้า,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 16/สส. 5ทับ18.pdf,16,15.0,ตำบลแม่สาว,อำเภอแม่อาย,911.0,602.0,524.0,75.0,3.0,3.0,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,5.0,5,ห้า,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 16/สส. 5ทับ18.pdf,16,15.0,ตำบลแม่สาว,อำเภอแม่อาย,911.0,602.0,524.0,75.0,3.0,4.0,นายสันติ ตันสุข,ก้าวอิสระ,7.0,7,เจ็ด,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 16/สส. 5ทับ18.pdf,16,15.0,ตำบลแม่สาว,อำเภอแม่อาย,911.0,602.0,524.0,75.0,3.0,5.0,นายการุณย์ ภูเจริญชัยกุล,กล้าธรรม,212.0,212,สอง​ร้อย​สิบ​สอง,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 16/สส. 5ทับ18.pdf,16,15.0,ตำบลแม่สาว,อำเภอแม่อาย,911.0,602.0,524.0,75.0,3.0,6.0,นายนิธิกร วุฒินันชัย,เพื่อไทย,32.0,32,สาม​สิบ​สอง,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 16/สส. 5ทับ18.pdf,16,15.0,ตำบลแม่สาว,อำเภอแม่อาย,911.0,602.0,524.0,75.0,3.0,7.0,นายไกร ดาบธรรม,พลังประชารัฐ,182.0,182,หนึ่ง​ร้อย​แปด​สิบ​สอง,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 16/สส. 5ทับ18.pdf,16,15.0,ตำบลแม่สาว,อำเภอแม่อาย,911.0,602.0,524.0,75.0,3.0,8.0,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,3.0,3,สาม,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 16/สส. 5ทับ18.pdf,16,15.0,ตำบลแม่สาว,อำเภอแม่อาย,911.0,602.0,524.0,75.0,3.0,9.0,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,7.0,7,เจ็ด,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 15/สส. 5ทับ18.pdf,15,14.0,ตำบลแม่สาว,อำเภอแม่อาย,456.0,311.0,322.0,14.0,5.0,1.0,นายอดุลย์ บุญใส,ภูมิใจไทย,8.0,8,แปดคะแนน,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 15/สส. 5ทับ18.pdf,15,14.0,ตำบลแม่สาว,อำเภอแม่อาย,456.0,311.0,322.0,14.0,5.0,2.0,นายสมดุลย์ อุตเจริญ,ประชาชน,61.0,61,หกสิบเอ็ดคะแนน,numeric_text_agree
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 15/สส. 5ทับ18.pdf,15,14.0,ตำบลแม่สาว,อำเภอแม่อาย,456.0,311.0,322.0,14.0,5.0,3.0,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,,,,missing
